epoch,step,tr_acc,tr_loss,val_acc,val_loss
0,499,0.15684285759925842,0.757283091545105,,
0,999,0.25000837445259094,0.7578614950180054,,
0,1499,0.2584094703197479,0.7496111392974854,,
0,1736,,,0.24888142943382263,0.7602341175079346
1,1999,0.2582242786884308,0.7512803673744202,,
1,2499,0.1091376394033432,0.7882488965988159,,
1,2999,0.1784680336713791,0.7474022507667542,,
1,3473,,,0.15283112227916718,0.7602341175079346
2,3499,0.15078109502792358,0.7593096494674683,,
2,3999,0.14367511868476868,0.7655341029167175,,
2,4499,0.15156938135623932,0.769218921661377,,
2,4999,0.14246729016304016,0.7704141139984131,,
2,5210,,,0.15706603229045868,0.7602341175079346
3,5499,0.14698426425457,0.7704821228981018,,
3,5999,0.14482539892196655,0.7598051428794861,,
3,6499,0.14542639255523682,0.7473891377449036,,
3,6947,,,0.15750733017921448,0.7602341175079346
4,6999,0.13788346946239471,0.7626355886459351,,
4,7499,0.13535283505916595,0.7610636353492737,,
4,7999,0.12774544954299927,0.7748546600341797,,
4,8499,0.1639348566532135,0.7470555901527405,,
4,8684,,,0.15086571872234344,0.7602341175079346
5,8999,0.14657431840896606,0.7593954801559448,,
5,9499,0.16243630647659302,0.7606549263000488,,
5,9999,0.14510218799114227,0.7661157250404358,,
5,10421,,,0.15294215083122253,0.7602341175079346
6,10499,0.1224113255739212,0.772995114326477,,
6,10999,0.15885739028453827,0.7536686658859253,,
6,11499,0.16447138786315918,0.7431039214134216,,
6,11999,0.14493268728256226,0.7592709064483643,,
6,12158,,,0.1519559621810913,0.7602341175079346
7,12499,0.15875986218452454,0.754308819770813,,
7,12999,0.14118221402168274,0.7551736831665039,,
7,13499,0.1261986494064331,0.7646503448486328,,
7,13895,,,0.15300314128398895,0.7602341175079346
8,13999,0.1315542757511139,0.7586843967437744,,
8,14499,0.1486324965953827,0.7458255290985107,,
8,14999,0.13805730640888214,0.7691835761070251,,
8,15499,0.14474445581436157,0.7669118642807007,,
8,15632,,,0.15286368131637573,0.7602341175079346
9,15999,0.14945653080940247,0.7521368265151978,,
9,16499,0.14849258959293365,0.7679404020309448,,
9,16999,0.15454235672950745,0.7651633024215698,,
9,17369,,,0.15229900181293488,0.7602341175079346
10,17499,0.14733535051345825,0.7499496936798096,,
10,17999,0.13708487153053284,0.7638955116271973,,
10,18499,0.14805558323860168,0.7687098979949951,,
10,18999,0.16165781021118164,0.7520215511322021,,
10,19106,,,0.15184515714645386,0.7602341175079346
11,19499,0.1545841246843338,0.7585942149162292,,
11,19999,0.13362084329128265,0.7605175375938416,,
11,20499,0.15513601899147034,0.7540736198425293,,
11,20843,,,0.1543712317943573,0.7602341175079346
12,20999,0.14214091002941132,0.7781963348388672,,
12,21499,0.14330574870109558,0.755914568901062,,
12,21999,0.16104014217853546,0.753451943397522,,
12,22499,0.15109461545944214,0.7571142315864563,,
12,22580,,,0.15482673048973083,0.7602341175079346
13,22999,0.11804824322462082,0.7652954459190369,,
13,23499,0.13216520845890045,0.775863766670227,,
13,23999,0.1538330614566803,0.7536920309066772,,
13,24317,,,0.152762308716774,0.7602341175079346
14,24499,0.1639787256717682,0.7510806322097778,,
14,24999,0.13109946250915527,0.7634156346321106,,
14,25499,0.14467661082744598,0.7669744491577148,,
14,25999,0.13515736162662506,0.7633790969848633,,
14,26054,,,0.15534433722496033,0.7602341175079346
15,26499,0.12698203325271606,0.7633067965507507,,
15,26999,0.13628634810447693,0.7581281661987305,,
15,27499,0.13604173064231873,0.7684909105300903,,
15,27791,,,0.15403732657432556,0.7602341175079346
16,27999,0.13822884857654572,0.7645996809005737,,
16,28499,0.14241132140159607,0.7555842995643616,,
16,28999,0.13256330788135529,0.7586995363235474,,
16,29499,0.1506720632314682,0.7662366032600403,,
16,29528,,,0.15493211150169373,0.7602341175079346
17,29999,0.13576459884643555,0.7710084915161133,,
17,30499,0.13428746163845062,0.7587862014770508,,
17,30999,0.15593284368515015,0.751603901386261,,
17,31265,,,0.1543949395418167,0.7602341175079346
18,31499,0.14799116551876068,0.7556679844856262,,
18,31999,0.1483967900276184,0.7482056617736816,,
18,32499,0.1367327868938446,0.7669196724891663,,
18,32999,0.13920632004737854,0.7667781114578247,,
18,33002,,,0.15635952353477478,0.7602341175079346
19,33499,0.14003188908100128,0.7715433835983276,,
19,33999,0.14527279138565063,0.7605178356170654,,
19,34499,0.14373037219047546,0.7454892992973328,,
