epoch,step,tr_acc,tr_loss,val_acc,val_loss
0,499,0.12247437238693237,0.669803261756897,,
0,999,0.14829127490520477,0.658683717250824,,
0,1499,0.16764268279075623,0.6392413377761841,,
0,1736,,,0.13177666068077087,0.6563606262207031
1,1999,0.19559814035892487,0.6316293478012085,,
1,2499,0.1198451817035675,0.6821210980415344,,
1,2999,0.2324128895998001,0.6396801471710205,,
1,3473,,,0.17050538957118988,0.6546688675880432
2,3499,0.19330433011054993,0.6614882946014404,,
2,3999,0.17115336656570435,0.668871283531189,,
2,4499,0.26781728863716125,0.664449155330658,,
2,4999,0.2039581835269928,0.6741541624069214,,
2,5210,,,0.20154640078544617,0.654571533203125
3,5499,0.24476386606693268,0.6639242172241211,,
3,5999,0.26493316888809204,0.654190719127655,,
3,6499,0.2259422093629837,0.6441808938980103,,
3,6947,,,0.28565168380737305,0.6542656421661377
4,6999,0.19805897772312164,0.6615499258041382,,
4,7499,0.2773696184158325,0.6488930583000183,,
4,7999,0.2459379881620407,0.6702377200126648,,
4,8499,0.2859933078289032,0.635413646697998,,
4,8684,,,0.23370656371116638,0.6555624008178711
5,8999,0.2761082649230957,0.654742956161499,,
5,9499,0.3107599914073944,0.6490685939788818,,
5,9999,0.3133895695209503,0.6610252857208252,,
5,10421,,,0.30479714274406433,0.652565062046051
6,10499,0.27342551946640015,0.6678028702735901,,
6,10999,0.19364038109779358,0.6479474306106567,,
6,11499,0.306953489780426,0.6379304528236389,,
6,11999,0.27679622173309326,0.6517168879508972,,
6,12158,,,0.3126944303512573,0.653293251991272
7,12499,0.30800682306289673,0.6573395729064941,,
7,12999,0.2739584147930145,0.6535268425941467,,
7,13499,0.3048042953014374,0.6565821170806885,,
7,13895,,,0.34570974111557007,0.6527326107025146
8,13999,0.35123223066329956,0.646904468536377,,
8,14499,0.32388758659362793,0.6320909261703491,,
8,14999,0.3361233174800873,0.6548610925674438,,
8,15499,0.33014485239982605,0.6514408588409424,,
8,15632,,,0.27012208104133606,0.6517884135246277
9,15999,0.31472069025039673,0.6426553726196289,,
9,16499,0.3129658102989197,0.6448712348937988,,
9,16999,0.30361929535865784,0.6702033281326294,,
9,17369,,,0.33849528431892395,0.6519391536712646
10,17499,0.34009698033332825,0.647314190864563,,
10,17999,0.35217979550361633,0.6434062719345093,,
10,18499,0.3269067406654358,0.6585288047790527,,
10,18999,0.3320033848285675,0.6355672478675842,,
10,19106,,,0.28645938634872437,0.6522461771965027
11,19499,0.28377586603164673,0.6487120389938354,,
11,19999,0.18698039650917053,0.6539368629455566,,
11,20499,0.3424113988876343,0.6436485648155212,,
11,20843,,,0.3272041976451874,0.6517910957336426
12,20999,0.30645692348480225,0.672197699546814,,
12,21499,0.3184010088443756,0.6563963294029236,,
12,21999,0.32072097063064575,0.6373245716094971,,
12,22499,0.32288461923599243,0.6464387774467468,,
12,22580,,,0.30004990100860596,0.6513084769248962
13,22999,0.3396790027618408,0.6482580304145813,,
13,23499,0.2950008809566498,0.6577520370483398,,
13,23999,0.29926180839538574,0.6445620656013489,,
13,24317,,,0.29051661491394043,0.650366485118866
14,24499,0.31971240043640137,0.6301184892654419,,
14,24999,0.2703595757484436,0.6606462001800537,,
14,25499,0.30756962299346924,0.6433055400848389,,
14,25999,0.2923610806465149,0.6465343236923218,,
14,26054,,,0.30192020535469055,0.651176929473877
15,26499,0.2860444188117981,0.6538365483283997,,
15,26999,0.2912921905517578,0.6517609357833862,,
15,27499,0.300725519657135,0.6528223752975464,,
15,27791,,,0.2999814748764038,0.6494717597961426
16,27999,0.2955712080001831,0.6525254845619202,,
16,28499,0.292833149433136,0.6509455442428589,,
16,28999,0.3019997477531433,0.6462591886520386,,
16,29499,0.31301939487457275,0.6497936844825745,,
16,29528,,,0.3018728792667389,0.6491463780403137
17,29999,0.2691163122653961,0.6797515153884888,,
17,30499,0.3220168352127075,0.629626989364624,,
17,30999,0.31243574619293213,0.6417089700698853,,
17,31265,,,0.30088841915130615,0.6489390730857849
18,31499,0.30662479996681213,0.6403602361679077,,
18,31999,0.2955915331840515,0.639584481716156,,
18,32499,0.2815997004508972,0.6680587530136108,,
18,32999,0.30005505681037903,0.6506452560424805,,
18,33002,,,0.29975542426109314,0.6488320231437683
19,33499,0.28752750158309937,0.6576436758041382,,
19,33999,0.2837778925895691,0.6615679860115051,,
19,34499,0.30975696444511414,0.6327962875366211,,
19,34739,,,0.30105212330818176,0.6486504673957825
20,34999,0.3221983313560486,0.6370884776115417,,
20,35499,0.30284371972084045,0.6502341032028198,,
20,35999,0.3126341998577118,0.6516369581222534,,
20,36476,,,0.3130865693092346,0.6486279964447021
21,36499,0.31167855858802795,0.6375994086265564,,
21,36999,0.3109596371650696,0.6557629108428955,,
21,37499,0.3086501955986023,0.6543980836868286,,
21,37999,0.2932157516479492,0.6778907775878906,,
21,38213,,,0.3164033591747284,0.6485808491706848
22,38499,0.31777459383010864,0.6591074466705322,,
22,38999,0.3280872702598572,0.639514684677124,,
22,39499,0.3395504951477051,0.6353896856307983,,
22,39950,,,0.31567493081092834,0.6484469771385193
23,39999,0.3225906491279602,0.6412098407745361,,
23,40499,0.30350396037101746,0.6567077040672302,,
23,40999,0.3309955894947052,0.639651894569397,,
23,41499,0.32282358407974243,0.6338741779327393,,
23,41687,,,0.3177368640899658,0.6483071446418762
24,41999,0.32064858078956604,0.6304892301559448,,
24,42499,0.3096008896827698,0.6549171209335327,,
24,42999,0.30002740025520325,0.6608271598815918,,
24,43424,,,0.3082202672958374,0.6484083533287048
