epoch,step,tr_acc,tr_loss,val_dcg@10,val_loss
0,499,69.23828125,0.6553053289284604,,
0,999,72.4609375,0.640239475336063,,
0,1499,74.21875,0.6395925850861999,,
0,1736,,,3672.839787164621,0.6505145727001002
1,1999,72.0703125,0.6523859783581887,,
1,2499,71.58203125,0.652099913091827,,
1,2999,72.265625,0.6554928902375052,,
1,3473,,,3560.585428792247,0.6475213452469818
2,3499,72.16796875,0.6457612291627481,,
2,3999,71.09375,0.6542276714120314,,
2,4499,73.14453125,0.6470955295801368,,
2,4999,74.0234375,0.6414906751464963,,
2,5210,,,3526.2980062308184,0.6472483456614309
3,5499,72.75390625,0.6474869739612453,,
3,5999,70.1171875,0.6487527473145119,,
3,6499,71.484375,0.649908516567846,,
3,6947,,,3521.1905569785545,0.6471939958219405
4,6999,72.265625,0.6431746489059866,,
4,7499,71.58203125,0.6489167975686793,,
4,7999,74.21875,0.6454233786537473,,
4,8499,71.875,0.649161017290903,,
4,8684,,,3529.019861712453,0.6474483191451149
5,8999,74.31640625,0.6418131924208392,,
5,9499,72.75390625,0.6467371970529652,,
5,9999,76.46484375,0.6407823242848263,,
5,10421,,,3516.805845259243,0.6468924029858488
6,10499,73.14453125,0.645214489922495,,
6,10999,75.29296875,0.6308667314909805,,
6,11499,73.046875,0.637462498534946,,
6,11999,73.2421875,0.6395086114474006,,
6,12158,,,3499.9998181099672,0.6464370015195846
7,12499,74.12109375,0.6415265423480156,,
7,12999,74.0234375,0.6342857213692026,,
7,13499,72.55859375,0.6442173715132948,,
7,13895,,,3487.5294229775163,0.646130271659959
8,13999,74.4140625,0.6456671332573483,,
8,14499,70.703125,0.6553838431053345,,
8,14999,72.94921875,0.6478333768082765,,
8,15499,73.53515625,0.6367656273922978,,
8,15632,,,3482.636341652788,0.6456561536409228
9,15999,73.53515625,0.6465985290632791,,
9,16499,74.609375,0.6425095399783821,,
9,16999,72.94921875,0.6393024165945214,,
9,17369,,,3457.698340469511,0.6439069301236455
10,17499,75.0,0.6435857371111631,,
10,17999,73.92578125,0.6451898730996921,,
10,18499,72.16796875,0.6476710838736675,,
10,18999,75.0,0.644732706032233,,
10,19106,,,3504.017795254185,0.6466588781716229
11,19499,72.55859375,0.6490485343603258,,
11,19999,75.1953125,0.6379542076277517,,
11,20499,71.97265625,0.6497458712517387,,
11,20843,,,3485.541504014577,0.6459563565829805
12,20999,72.55859375,0.6386391069580729,,
12,21499,71.38671875,0.653767350067984,,
12,21999,74.51171875,0.6407421239906821,,
12,22499,71.875,0.651035140188766,,
12,22580,,,3479.524859685193,0.6457697924170928
13,22999,72.65625,0.6363279868780973,,
13,23499,72.36328125,0.6403127582415675,,
13,23999,72.4609375,0.644209092093033,,
13,24317,,,3464.5580023655752,0.6453478284204158
14,24499,74.0234375,0.6455225751333316,,
14,24999,70.99609375,0.6471482826476765,,
14,25499,73.046875,0.6454408247169445,,
14,25999,71.97265625,0.6380461307871659,,
14,26054,,,3474.499287256971,0.64577836513462
15,26499,73.6328125,0.6533259519151932,,
15,26999,71.97265625,0.6514575362418912,,
15,27499,74.21875,0.6339700752485358,,
15,27791,,,3491.8094688055835,0.6464837260351364
16,27999,71.6796875,0.65098109827888,,
16,28499,73.53515625,0.6370525662754488,,
16,28999,71.19140625,0.6440810747827527,,
16,29499,72.75390625,0.6502946820546484,,
16,29528,,,3497.0825292746804,0.6466621743287746
17,29999,72.8515625,0.6487674677409959,,
17,30499,70.01953125,0.6477091491300311,,
17,30999,73.2421875,0.6417113328082307,,
17,31265,,,3493.410597350218,0.6465030416002592
18,31499,72.16796875,0.6437715443596226,,
18,31999,74.21875,0.655425755052114,,
18,32499,71.6796875,0.6505371894372324,,
18,32999,72.94921875,0.6428732398782389,,
18,33002,,,3497.2389971858884,0.6466323922606139
19,33499,74.51171875,0.6413115291703194,,
19,33999,74.8046875,0.6413974800836559,,
19,34499,73.53515625,0.6421561992655033,,
19,34739,,,3497.937128141014,0.6466680425594941
20,34999,73.046875,0.6497743317433913,,
20,35499,72.94921875,0.6492247586047325,,
20,35999,72.94921875,0.6442589585142879,,
20,36476,,,3498.3035578560502,0.6467020068673606
21,36499,72.265625,0.6499348193196295,,
21,36999,73.6328125,0.6443688361908917,,
21,37499,73.6328125,0.6417125380636234,,
21,37999,73.046875,0.6458277529204948,,
21,38213,,,3497.0238837864836,0.6466165414852587
22,38499,72.55859375,0.6481094870885175,,
22,38999,74.0234375,0.641425161969002,,
22,39499,73.6328125,0.6385680223685457,,
22,39950,,,3502.5742388240938,0.6468282244473822
23,39999,73.6328125,0.6346404674425046,,
23,40499,74.0234375,0.6366876021985515,,
23,40999,73.73046875,0.6493511728687839,,
23,41499,75.48828125,0.6468691443329768,,
23,41687,,,3498.2954726450344,0.6466711195760932
24,41999,73.14453125,0.644770826799254,,
24,42499,75.29296875,0.6410369802852384,,
24,42999,70.703125,0.6490306454934118,,
24,43424,,,3499.573148940437,0.6466982191162984
