epoch,step,tr_acc,tr_loss,val_dcg@10,val_loss
0,499,72.75390625,0.6498516120042104,,
0,999,74.4140625,0.6352432916999526,,
0,1499,71.2890625,0.643417733133249,,
0,1736,,,3781.2069532664614,0.655202853026782
1,1999,72.55859375,0.6513431778241684,,
1,2499,72.55859375,0.6473006209800656,,
1,2999,72.36328125,0.6494176018745927,,
1,3473,,,3609.6286168060838,0.649410925128763
2,3499,71.484375,0.6537023134941022,,
2,3999,71.875,0.6567054543682351,,
2,4499,72.94921875,0.6558147682979797,,
2,4999,72.8515625,0.647197461931328,,
2,5210,,,3642.953016237118,0.6503471367833606
3,5499,68.26171875,0.6604223677407879,,
3,5999,69.82421875,0.6484303646859745,,
3,6499,70.80078125,0.6588749151723838,,
3,6947,,,3534.108210046346,0.6467167524636113
4,6999,73.046875,0.6482097026765844,,
4,7499,70.1171875,0.6517034263233962,,
4,7999,75.29296875,0.6409392643407752,,
4,8499,72.4609375,0.6448347659066143,,
4,8684,,,3498.557934258632,0.6463822227973505
5,8999,74.8046875,0.6366210280844997,,
5,9499,71.77734375,0.6426840606000422,,
5,9999,73.6328125,0.6478537823194619,,
5,10421,,,3574.801121381271,0.648127828401864
6,10499,71.875,0.6440258025039123,,
6,10999,72.75390625,0.637661315057476,,
6,11499,73.33984375,0.6390449772967053,,
6,11999,72.16796875,0.6452574430402427,,
6,12158,,,3563.205357895906,0.6481193771200988
7,12499,74.8046875,0.6330280379108773,,
7,12999,74.0234375,0.6392622567127151,,
7,13499,72.16796875,0.6438143593114634,,
7,13895,,,3530.9954704834586,0.6473148080265911
8,13999,72.75390625,0.6560501864597891,,
8,14499,72.36328125,0.6525137368593266,,
8,14999,71.58203125,0.6541615615442231,,
8,15499,74.70703125,0.639036645855345,,
8,15632,,,3568.4275353348603,0.6484512506120251
9,15999,71.19140625,0.6561169319252267,,
9,16499,70.99609375,0.6544458128624364,,
9,16999,73.828125,0.6457303753526326,,
9,17369,,,3500.5334905166123,0.6452968619917866
10,17499,73.6328125,0.6448113083179003,,
10,17999,72.94921875,0.6475233515376098,,
10,18499,73.14453125,0.6426525747763524,,
10,18999,75.5859375,0.6471963773565373,,
10,19106,,,3513.5488873114914,0.6468069748304565
11,19499,72.55859375,0.6507255384885644,,
11,19999,73.53515625,0.6459923208467283,,
11,20499,70.41015625,0.6597493031535719,,
11,20843,,,3519.1877252127824,0.6467586510905189
12,20999,73.14453125,0.6442338284951513,,
