epoch,step,tr_acc,tr_loss,val_dcg@10,val_loss
0,499,72.8515625,0.6359483005137128,,
0,999,75.0,0.6245501520657649,,
0,1499,73.53515625,0.6326055958141926,,
0,1736,,,3198.9942993880377,0.6325459296142018
1,1999,75.29296875,0.6330428006658982,,
1,2499,74.21875,0.6268342582216029,,
1,2999,72.16796875,0.6332777252606807,,
1,3473,,,3234.160013527602,0.6336767001714134
2,3499,74.609375,0.6277247955510509,,
2,3999,75.87890625,0.6383759021039608,,
2,4499,76.46484375,0.6344474226206057,,
2,4999,76.3671875,0.629218374464983,,
2,5210,,,3220.6232693772763,0.6334806692023934
3,5499,72.65625,0.6315273840340117,,
3,5999,71.2890625,0.636183537213052,,
3,6499,73.14453125,0.6365154424587975,,
3,6947,,,3307.7516909837304,0.6352657817565324
4,6999,73.92578125,0.6349749843090718,,
4,7499,68.84765625,0.6415633601952628,,
4,7999,73.828125,0.637447259629454,,
4,8499,73.2421875,0.6407233808395455,,
4,8684,,,3368.128131214742,0.6380275865058554
5,8999,75.09765625,0.6284553686347134,,
5,9499,73.828125,0.6309793617601172,,
5,9999,73.92578125,0.6399666493440505,,
5,10421,,,3284.594055203839,0.6346875531606918
6,10499,73.53515625,0.6349310723679943,,
6,10999,74.609375,0.6225307818579164,,
6,11499,73.2421875,0.6251559423282305,,
6,11999,73.6328125,0.6241951139537578,,
6,12158,,,3329.434485670692,0.6348538573171187
7,12499,73.828125,0.6254475787550725,,
7,12999,73.73046875,0.6261570975011396,,
7,13499,72.0703125,0.6360208868283781,,
7,13895,,,3355.873658428415,0.6361890491659369
8,13999,74.0234375,0.6380795583064603,,
8,14499,70.1171875,0.6464233692184913,,
8,14999,73.53515625,0.6388414988774294,,
8,15499,73.828125,0.6324048713486496,,
8,15632,,,3414.2034491525924,0.6390037666509637
9,15999,74.8046875,0.6312487767877879,,
9,16499,74.12109375,0.6367324284012891,,
9,16999,73.046875,0.6380423383871485,,
9,17369,,,3432.772793909396,0.6404824635626785
10,17499,71.58203125,0.6361151679594123,,
10,17999,72.55859375,0.6339897859338948,,
10,18499,71.58203125,0.6334436082401885,,
10,18999,74.4140625,0.6396626609824332,,
10,19106,,,3725.7890894494453,0.6472265496195377
11,19499,71.6796875,0.6364845562922604,,
11,19999,73.53515625,0.6313647869589547,,
11,20499,72.36328125,0.644248340968917,,
11,20843,,,3340.574557084343,0.6353737969123973
12,20999,73.2421875,0.6296697079541966,,
12,21499,70.80078125,0.6474401067546196,,
12,21999,72.16796875,0.6353518485152947,,
12,22499,68.9453125,0.6426318207710504,,
12,22580,,,3848.400111477433,0.6503872871430713
13,22999,71.875,0.6338683639270237,,
13,23499,70.3125,0.6354824656862537,,
13,23999,72.75390625,0.633133880589668,,
13,24317,,,3982.474942722986,0.6548177529501448
14,24499,71.6796875,0.6392429746417724,,
14,24999,69.921875,0.6407602851921557,,
14,25499,71.484375,0.633788377670967,,
14,25999,69.04296875,0.6370190715913367,,
14,26054,,,3810.3138495187573,0.6511914714628343
15,26499,72.4609375,0.6454141350253633,,
15,26999,72.0703125,0.6396586383012338,,
15,27499,72.94921875,0.6233888110387847,,
15,27791,,,3720.1526442657973,0.6492510218534753
16,27999,69.921875,0.6472477076803742,,
16,28499,73.33984375,0.6259500895686407,,
16,28999,70.99609375,0.6407248584678346,,
16,29499,72.0703125,0.6420355264633376,,
16,29528,,,3628.737695342421,0.6464758151725285
17,29999,72.36328125,0.6390630202276438,,
17,30499,69.3359375,0.6405171822020711,,
17,30999,71.19140625,0.6356609782462296,,
17,31265,,,3647.370624459114,0.6463113049252824
18,31499,73.73046875,0.6301353994947403,,
18,31999,71.58203125,0.6444861821884131,,
18,32499,72.55859375,0.6398733449156501,,
18,32999,71.484375,0.637329000372391,,
18,33002,,,3679.7506364688115,0.6466514804385377
19,33499,74.31640625,0.6348903043767756,,
19,33999,71.2890625,0.637849503262029,,
19,34499,70.703125,0.6334763867285544,,
19,34739,,,3463.580649880129,0.6391159352910034
20,34999,72.16796875,0.6400888199227788,,
20,35499,73.53515625,0.63527102755948,,
20,35999,73.14453125,0.6337503444404169,,
20,36476,,,3308.29529100766,0.6342147984278841
21,36499,71.09375,0.6450361781163947,,
21,36999,72.94921875,0.6338560180392551,,
21,37499,73.33984375,0.6302266532119477,,
21,37999,73.828125,0.6346918576191605,,
21,38213,,,3314.3958737044395,0.6346651320375657
22,38499,74.4140625,0.6366495376668684,,
22,38999,73.33984375,0.6301785404671372,,
22,39499,73.2421875,0.6289165832438897,,
22,39950,,,3312.747980415972,0.6348318840163312
23,39999,73.2421875,0.6241554612026787,,
23,40499,72.4609375,0.6230088388687081,,
23,40999,70.3125,0.6408373583856144,,
23,41499,74.4140625,0.6312217121537274,,
23,41687,,,3314.511783218623,0.6349010165396223
24,41999,72.4609375,0.6288587428474728,,
24,42499,72.265625,0.6350056435570592,,
24,42999,71.2890625,0.6373305607309949,,
24,43424,,,3288.8737303798057,0.6340982104212691
