epoch,step,tr_acc_ranker,tr_loss_ranker,val_acc_ranker,val_loss_ranker
0,499,0.8919671773910522,0.11977081000804901,,
0,999,0.9103567600250244,0.09815313667058945,,
0,1499,0.9051928520202637,0.10335048288106918,,
0,1736,,,0.9128792881965637,0.09609232097864151
1,1999,0.9157638549804688,0.09293003380298615,,
1,2499,0.9138977527618408,0.09395308047533035,,
1,2999,0.9155816435813904,0.09230762720108032,,
1,3473,,,0.9189316034317017,0.08918669074773788
2,3499,0.9130114316940308,0.09600277245044708,,
2,3999,0.9194703102111816,0.0886135995388031,,
2,4499,0.911707878112793,0.09708812832832336,,
2,4999,0.9154848456382751,0.09191765636205673,,
2,5210,,,0.9216331839561462,0.0861230343580246
3,5499,0.922222375869751,0.08576460182666779,,
3,5999,0.9169940948486328,0.09225885570049286,,
3,6499,0.9227993488311768,0.08555634319782257,,
3,6947,,,0.9243583679199219,0.08315574377775192
4,6999,0.9198193550109863,0.08841510117053986,,
4,7499,0.9194055795669556,0.08876541256904602,,
4,7999,0.9220283031463623,0.08564358204603195,,
4,8499,0.9268451929092407,0.08091701567173004,,
4,8684,,,0.9260391592979431,0.08132106810808182
5,8999,0.9178298115730286,0.09095361828804016,,
5,9499,0.9295040369033813,0.0770941823720932,,
5,9999,0.9245222210884094,0.08338241279125214,,
5,10421,,,0.9273386001586914,0.07990390062332153
6,10499,0.9203531742095947,0.08783642202615738,,
6,10999,0.9313831329345703,0.07724063843488693,,
6,11499,0.9253841638565063,0.08135835826396942,,
6,11999,0.9235599637031555,0.08323615789413452,,
6,12158,,,0.9284614324569702,0.07863202691078186
7,12499,0.9234185218811035,0.08450034260749817,,
7,12999,0.9279646873474121,0.07915695756673813,,
7,13499,0.9280813932418823,0.0790635496377945,,
7,13895,,,0.9293871521949768,0.07767725735902786
8,13999,0.9232873916625977,0.08368393778800964,,
8,14499,0.9243466258049011,0.08364629745483398,,
8,14999,0.9240313172340393,0.08301176875829697,,
8,15499,0.9295102953910828,0.07733594626188278,,
8,15632,,,0.9297155141830444,0.07721378654241562
9,15999,0.929269015789032,0.07712114602327347,,
9,16499,0.9265661239624023,0.08051624894142151,,
9,16999,0.9277120232582092,0.07902917265892029,,
9,17369,,,0.9304449558258057,0.07648055255413055
10,17499,0.9271674156188965,0.07926170527935028,,
10,17999,0.9262887239456177,0.08133773505687714,,
10,18499,0.928848385810852,0.07800807803869247,,
10,18999,0.9299259185791016,0.0767156332731247,,
10,19106,,,0.9314800500869751,0.07536506652832031
11,19499,0.9247888922691345,0.08322668820619583,,
11,19999,0.9265240430831909,0.08061809837818146,,
11,20499,0.9322913289070129,0.07507020980119705,,
11,20843,,,0.9326012134552002,0.0741632804274559
12,20999,0.9272493720054626,0.07965710759162903,,
12,21499,0.9340677261352539,0.07318892329931259,,
12,21999,0.9289751052856445,0.07830709218978882,,
12,22499,0.9305777549743652,0.07681312412023544,,
12,22580,,,0.9326635003089905,0.07405894249677658
13,22999,0.9316284656524658,0.07472734153270721,,
13,23499,0.9342348575592041,0.07197196781635284,,
13,23999,0.9313136339187622,0.07540591061115265,,
13,24317,,,0.9333969354629517,0.07328146696090698
14,24499,0.9336380362510681,0.07370085269212723,,
14,24999,0.9248453974723816,0.08187926560640335,,
14,25499,0.9350874423980713,0.07170871645212173,,
14,25999,0.9293268918991089,0.0786164253950119,,
14,26054,,,0.9334664940834045,0.0732075497508049
15,26499,0.9301870465278625,0.07596689462661743,,
15,26999,0.9258602857589722,0.0813552588224411,,
15,27499,0.9302116632461548,0.07712162286043167,,
15,27791,,,0.9332618713378906,0.0733214020729065
16,27999,0.9272082448005676,0.08039051294326782,,
16,28499,0.9353833794593811,0.07110805809497833,,
16,28999,0.9317249059677124,0.07557930797338486,,
16,29499,0.9279561042785645,0.0790390819311142,,
16,29528,,,0.9340876936912537,0.07242661714553833
17,29999,0.9290112257003784,0.07700814306735992,,
17,30499,0.9312405586242676,0.07520336657762527,,
17,30999,0.9335874319076538,0.07223697751760483,,
17,31265,,,0.9344375133514404,0.07209473103284836
18,31499,0.9279119968414307,0.07900451123714447,,
18,31999,0.9317299723625183,0.07579468935728073,,
18,32499,0.937406063079834,0.06882742792367935,,
18,32999,0.937926709651947,0.06787913292646408,,
18,33002,,,0.9372129440307617,0.06908583641052246
