epoch,step,tr_acc,tr_loss,val_acc,val_loss
0,499,56.54296875,0.724152684211731,,
0,999,62.01171875,0.6930919885635376,,
0,1499,58.30078125,0.7123270034790039,,
0,1736,,,57.433494567871094,0.7380629777908325
1,1999,58.0078125,0.7371393442153931,,
1,2499,58.7890625,0.7107770442962646,,
1,2999,59.08203125,0.7112166881561279,,
1,3473,,,57.42456817626953,0.8141465783119202
2,3499,60.546875,0.6991286277770996,,
2,3999,59.86328125,0.7050758600234985,,
2,4499,60.3515625,0.6876319646835327,,
2,4999,57.91015625,0.7137936949729919,,
2,5210,,,57.447635650634766,0.8146186470985413
3,5499,59.9609375,0.6778910160064697,,
3,5999,56.640625,0.7454040050506592,,
3,6499,60.15625,0.726227879524231,,
3,6947,,,57.438377380371094,0.8133506774902344
4,6999,59.47265625,0.6943702697753906,,
4,7499,60.546875,0.7067288160324097,,
4,7999,58.203125,0.7414451837539673,,
4,8499,60.05859375,0.7001517415046692,,
4,8684,,,57.44426727294922,0.8141351938247681
5,8999,59.47265625,0.7117981314659119,,
5,9499,57.8125,0.7085511684417725,,
5,9999,58.7890625,0.7101240754127502,,
5,10421,,,57.453529357910156,0.8146249651908875
6,10499,57.2265625,0.7078579068183899,,
6,10999,62.40234375,0.6973121762275696,,
6,11499,55.6640625,0.7270643711090088,,
6,11999,58.0078125,0.7254451513290405,,
6,12158,,,57.453697204589844,0.8145948648452759
7,12499,60.44921875,0.705936074256897,,
7,12999,59.1796875,0.7003015279769897,,
7,13499,58.30078125,0.747649610042572,,
7,13895,,,57.453529357910156,0.8145971894264221
8,13999,57.51953125,0.7251012921333313,,
8,14499,56.34765625,0.7282230854034424,,
8,14999,60.44921875,0.7002838850021362,,
8,15499,57.51953125,0.7146697044372559,,
8,15632,,,57.453529357910156,0.8146005272865295
9,15999,57.2265625,0.7332294583320618,,
9,16499,60.05859375,0.7118402719497681,,
9,16999,59.1796875,0.7098815441131592,,
9,17369,,,57.45285415649414,0.8145977258682251
10,17499,56.54296875,0.7245583534240723,,
10,17999,59.765625,0.7094036340713501,,
10,18499,60.3515625,0.6928669214248657,,
10,18999,62.20703125,0.6863721013069153,,
10,19106,,,57.45386505126953,0.8146061301231384
11,19499,61.5234375,0.6860411763191223,,
11,19999,58.7890625,0.7178270816802979,,
11,20499,58.3984375,0.7214745283126831,,
11,20843,,,57.45285415649414,0.8146014213562012
12,20999,59.27734375,0.7024577856063843,,
12,21499,58.88671875,0.7155526876449585,,
12,21999,59.1796875,0.7209963798522949,,
12,22499,57.8125,0.6996544599533081,,
12,22580,,,57.44999313354492,0.8144959807395935
13,22999,58.10546875,0.7219488024711609,,
13,23499,60.3515625,0.6767480373382568,,
13,23999,57.51953125,0.7496345043182373,,
13,24317,,,57.45336151123047,0.8146036863327026
14,24499,55.56640625,0.7364369034767151,,
14,24999,58.59375,0.7095369100570679,,
14,25499,59.9609375,0.6986624002456665,,
14,25999,58.0078125,0.7234498262405396,,
14,26054,,,57.45319366455078,0.8146026730537415
15,26499,58.7890625,0.7017138004302979,,
15,26999,58.59375,0.7299349308013916,,
15,27499,61.328125,0.6691383719444275,,
15,27791,,,57.45336151123047,0.8146028518676758
16,27999,59.1796875,0.7161598205566406,,
16,28499,57.421875,0.7156525254249573,,
