epoch,step,tr_acc,tr_loss,val_acc,val_loss
0,499,62.98828125,0.6120646595954895,,
0,999,64.35546875,0.6019871234893799,,
0,1499,62.59765625,0.6439292430877686,,
0,1736,,,66.20521545410156,0.6058525443077087
1,1999,65.4296875,0.5988360047340393,,
1,2499,66.30859375,0.599582314491272,,
1,2999,65.72265625,0.6043088436126709,,
1,3473,,,65.82098388671875,0.6039525270462036
2,3499,65.52734375,0.6091504693031311,,
2,3999,65.72265625,0.6121562719345093,,
2,4499,66.9921875,0.5853747129440308,,
2,4999,70.01953125,0.5828176736831665,,
2,5210,,,66.7352523803711,0.5965136885643005
3,5499,65.52734375,0.6069293022155762,,
3,5999,66.2109375,0.5938851833343506,,
3,6499,65.91796875,0.6091971397399902,,
3,6947,,,66.74568939208984,0.5954068899154663
4,6999,64.94140625,0.6169732809066772,,
4,7499,66.50390625,0.6018601655960083,,
4,7999,66.9921875,0.60079026222229,,
4,8499,68.45703125,0.5902062654495239,,
4,8684,,,66.8879623413086,0.5945508480072021
5,8999,68.65234375,0.5914287567138672,,
5,9499,66.015625,0.6086949110031128,,
5,9999,67.87109375,0.5763298273086548,,
5,10421,,,66.98780822753906,0.5944554805755615
6,10499,66.40625,0.5967501401901245,,
6,10999,65.52734375,0.5925973653793335,,
6,11499,65.91796875,0.6119359135627747,,
6,11999,65.4296875,0.6072638034820557,,
6,12158,,,67.11543273925781,0.5921687483787537
7,12499,67.578125,0.5759503841400146,,
7,12999,67.7734375,0.6084474325180054,,
7,13499,66.015625,0.5967888832092285,,
7,13895,,,66.89789581298828,0.5940361022949219
8,13999,67.96875,0.5868207216262817,,
8,14499,68.06640625,0.5927594900131226,,
8,14999,68.84765625,0.5879393815994263,,
8,15499,67.08984375,0.6003949642181396,,
8,15632,,,66.74754333496094,0.5940545201301575
9,15999,66.2109375,0.5841335654258728,,
9,16499,66.6015625,0.5931168794631958,,
9,16999,66.69921875,0.6005685329437256,,
9,17369,,,67.08900451660156,0.5923829078674316
10,17499,65.234375,0.603624165058136,,
10,17999,67.08984375,0.6009788513183594,,
10,18499,66.2109375,0.5917975902557373,,
10,18999,68.06640625,0.5878216624259949,,
10,19106,,,67.25064086914062,0.5902614593505859
11,19499,68.26171875,0.5860379934310913,,
11,19999,66.50390625,0.5918170213699341,,
11,20499,67.96875,0.5837412476539612,,
11,20843,,,67.15129852294922,0.5913575291633606
12,20999,66.40625,0.5989989638328552,,
12,21499,65.13671875,0.5989062786102295,,
12,21999,66.69921875,0.5785651803016663,,
12,22499,69.04296875,0.5673849582672119,,
12,22580,,,67.23194885253906,0.5893607139587402
13,22999,66.69921875,0.6009991765022278,,
13,23499,67.87109375,0.5922161340713501,,
13,23999,68.359375,0.5802820920944214,,
13,24317,,,67.23127746582031,0.5917327404022217
14,24499,67.96875,0.5907837152481079,,
14,24999,66.30859375,0.5877094268798828,,
14,25499,65.91796875,0.5884974002838135,,
14,25999,67.3828125,0.5876086950302124,,
14,26054,,,67.16510772705078,0.5896385312080383
15,26499,66.796875,0.5839261412620544,,
15,26999,67.96875,0.575610339641571,,
15,27499,67.67578125,0.5803403854370117,,
15,27791,,,67.31562805175781,0.5892953276634216
16,27999,64.94140625,0.617145299911499,,
16,28499,66.40625,0.5951059460639954,,
16,28999,67.1875,0.5803142786026001,,
16,29499,67.67578125,0.5817974805831909,,
16,29528,,,67.29206085205078,0.5899942517280579
17,29999,68.26171875,0.5767232179641724,,
17,30499,69.43359375,0.5783304572105408,,
17,30999,67.67578125,0.5865370035171509,,
17,31265,,,67.09455871582031,0.5911755561828613
18,31499,68.45703125,0.5847896337509155,,
18,31999,66.40625,0.5865927934646606,,
18,32499,70.60546875,0.5586409568786621,,
18,32999,67.578125,0.5944509506225586,,
18,33002,,,67.17066192626953,0.5898768901824951
19,33499,67.578125,0.5885992050170898,,
19,33999,69.53125,0.580106794834137,,
19,34499,65.13671875,0.6139598488807678,,
19,34739,,,67.20619201660156,0.5905423760414124
20,34999,68.45703125,0.5715171098709106,,
20,35499,68.65234375,0.5867178440093994,,
20,35999,66.50390625,0.5818997621536255,,
20,36476,,,67.46632385253906,0.5876179933547974
21,36499,67.96875,0.5683830976486206,,
21,36999,66.50390625,0.5871001482009888,,
21,37499,70.01953125,0.5646947622299194,,
21,37999,67.28515625,0.5752913951873779,,
21,38213,,,67.41110229492188,0.587794303894043
22,38499,66.40625,0.5894619226455688,,
22,38999,67.1875,0.5963338613510132,,
22,39499,63.8671875,0.6034185886383057,,
22,39950,,,67.45891571044922,0.5874049663543701
23,39999,66.2109375,0.5927807092666626,,
23,40499,68.359375,0.5784865617752075,,
23,40999,67.48046875,0.5800115466117859,,
23,41499,69.04296875,0.5855258107185364,,
23,41687,,,67.4528579711914,0.5879449248313904
24,41999,70.60546875,0.57059645652771,,
24,42499,66.40625,0.586645781993866,,
24,42999,66.6015625,0.5958296060562134,,
24,43424,,,67.4723892211914,0.5872281789779663
25,43499,68.359375,0.5764870643615723,,
25,43999,67.67578125,0.580750584602356,,
25,44499,64.0625,0.6229135990142822,,
25,44999,65.13671875,0.6068289875984192,,
25,45161,,,67.45386505126953,0.5876135230064392
26,45499,67.96875,0.579393744468689,,
26,45999,66.89453125,0.5942589044570923,,
26,46499,68.26171875,0.5677186250686646,,
26,46898,,,67.47222137451172,0.5875059962272644
27,46999,65.8203125,0.6056421995162964,,
27,47499,67.67578125,0.5763483047485352,,
27,47999,68.1640625,0.5917377471923828,,
27,48499,68.1640625,0.5786148309707642,,
27,48635,,,67.50421142578125,0.5874601006507874
28,48999,64.74609375,0.5973545908927917,,
28,49499,68.06640625,0.5937163233757019,,
28,49999,67.28515625,0.5860113501548767,,
28,50372,,,67.48973083496094,0.5869837403297424
29,50499,68.65234375,0.5792005062103271,,
29,50999,67.28515625,0.5999670028686523,,
29,51499,69.23828125,0.5741594433784485,,
29,51999,68.65234375,0.5820193886756897,,
29,52109,,,67.50235748291016,0.5874741077423096
30,52499,66.30859375,0.5986929535865784,,
30,52999,67.28515625,0.5868262052536011,,
30,53499,66.6015625,0.5906912088394165,,
30,53846,,,67.50269317626953,0.5872672200202942
31,53999,69.3359375,0.5716156363487244,,
31,54499,66.50390625,0.5905464291572571,,
31,54999,68.359375,0.5730586051940918,,
31,55499,67.48046875,0.578244149684906,,
31,55583,,,67.47777557373047,0.5871493220329285
32,55999,69.62890625,0.5590194463729858,,
32,56499,69.921875,0.567155122756958,,
32,56999,65.91796875,0.6013574600219727,,
32,57320,,,67.51077270507812,0.5869814157485962
33,57499,67.48046875,0.6013344526290894,,
33,57999,68.1640625,0.5867253541946411,,
33,58499,69.53125,0.5875061750411987,,
33,58999,66.2109375,0.6025625467300415,,
33,59057,,,67.50875854492188,0.5871362090110779
34,59499,66.69921875,0.5899497270584106,,
34,59999,69.7265625,0.5605757236480713,,
34,60499,66.2109375,0.5894320607185364,,
34,60794,,,67.51599884033203,0.587494969367981
35,60999,68.5546875,0.5791087746620178,,
35,61499,66.015625,0.5884621143341064,,
35,61999,67.578125,0.5645071864128113,,
35,62499,66.6015625,0.5847945809364319,,
35,62531,,,67.51364135742188,0.5869923830032349
36,62999,68.45703125,0.5907947421073914,,
36,63499,66.50390625,0.5908614993095398,,
36,63999,66.50390625,0.5821034908294678,,
36,64268,,,67.45487976074219,0.5875200033187866
37,64499,67.3828125,0.5820042490959167,,
37,64999,67.87109375,0.5921653509140015,,
37,65499,66.796875,0.5887541174888611,,
37,65999,66.50390625,0.5945178270339966,,
37,66005,,,67.5080795288086,0.5873161554336548
38,66499,68.26171875,0.5742515921592712,,
38,66999,65.8203125,0.5993977785110474,,
38,67499,66.11328125,0.5744647979736328,,
38,67742,,,67.54663848876953,0.5874956846237183
39,67999,65.33203125,0.6003075838088989,,
39,68499,69.23828125,0.5670557618141174,,
39,68999,71.2890625,0.5441431999206543,,
39,69479,,,67.5372085571289,0.5872000455856323
