epoch,step,tr_acc_reward,tr_loss_reward,val_TV_reward,val_loss_reward
0,499,73.2421875,0.6427358070535647,,
0,999,75.1953125,0.6251218493915038,,
0,1499,75.48828125,0.6244554651968505,,
0,1736,,,9.481859726853473,0.6181813888742561
1,1999,76.46484375,0.6253775145863661,,
1,2499,78.3203125,0.6167381463704265,,
1,2999,77.1484375,0.6226305031488681,,
1,3473,,,8.867703971065021,0.6136962855754601
2,3499,80.76171875,0.6115658115168658,,
2,3999,80.76171875,0.6195663651769971,,
2,4499,81.0546875,0.6153887933269546,,
2,4999,80.17578125,0.6076793527701713,,
2,5210,,,8.48563702094648,0.6112519746673938
3,5499,80.859375,0.6123411917508521,,
3,5999,78.80859375,0.6137337288806253,,
3,6499,81.8359375,0.6147966575992587,,
3,6947,,,8.002081399634275,0.6091497268714327
4,6999,79.58984375,0.6107182765985942,,
4,7499,81.93359375,0.6110336310072696,,
4,7999,79.8828125,0.6085285741309686,,
4,8499,78.90625,0.6122805431327428,,
4,8684,,,7.707149898777624,0.6072269327263261
5,8999,82.51953125,0.6037238595936469,,
5,9499,79.58984375,0.6066631010592664,,
5,9999,82.91015625,0.607523062604836,,
5,10421,,,7.604549127128133,0.6063947032385018
6,10499,82.421875,0.6047357967580549,,
6,10999,80.859375,0.5972742545157943,,
6,11499,84.86328125,0.599566411780923,,
6,11999,81.34765625,0.6047036146624812,,
6,12158,,,7.491823074867967,0.6055633920570898
7,12499,83.7890625,0.6028510145836675,,
7,12999,83.3984375,0.5982106467945655,,
7,13499,82.2265625,0.602135807822808,,
7,13895,,,7.3276043391931065,0.6047549700132883
8,13999,85.7421875,0.6037616764118822,,
8,14499,82.6171875,0.6133545110971064,,
8,14999,80.6640625,0.6108392832369658,,
8,15499,83.10546875,0.6012135079860308,,
8,15632,,,7.294971151443973,0.6046081728496057
9,15999,80.95703125,0.6109479502466283,,
9,16499,84.375,0.6040343468246777,,
9,16999,83.984375,0.6085363195882663,,
9,17369,,,7.126352922679918,0.6037548423426682
10,17499,82.51953125,0.6059365487512168,,
10,17999,82.6171875,0.6034308850485004,,
10,18499,82.03125,0.6051758920081244,,
10,18999,82.2265625,0.6085940729780257,,
10,19106,,,7.074679005254432,0.6035285897853564
11,19499,82.03125,0.6040828680398844,,
11,19999,84.27734375,0.6004942952536934,,
11,20499,83.984375,0.6086622771993386,,
11,20843,,,7.0516948922706835,0.603143107150772
12,20999,81.8359375,0.6012135572458427,,
12,21499,84.1796875,0.6132179341394788,,
12,21999,80.6640625,0.6029863114868115,,
12,22499,83.0078125,0.6014780847714035,,
12,22580,,,6.954610119465581,0.6031483641733109
13,22999,83.30078125,0.5935706736800406,,
13,23499,84.08203125,0.5941275543223528,,
13,23999,83.0078125,0.6011667991482919,,
13,24317,,,6.884732849605321,0.6024940681166605
14,24499,82.12890625,0.6082756015016793,,
14,24999,81.640625,0.6045061296218828,,
14,25499,85.9375,0.5989849474136342,,
14,25999,85.44921875,0.5959438790101332,,
14,26054,,,6.874583659418776,0.6023642794663021
15,26499,85.7421875,0.607475842920169,,
15,26999,82.2265625,0.6030772903510226,,
15,27499,82.421875,0.5935800989888055,,
15,27791,,,6.8555387226616435,0.602603550862357
16,27999,83.59375,0.6074424782274435,,
16,28499,84.86328125,0.5916815964603942,,
16,28999,83.88671875,0.6015697750667526,,
16,29499,85.05859375,0.6055691593541985,,
16,29528,,,6.797676282571238,0.6022821138288027
17,29999,84.5703125,0.6043792363323254,,
17,30499,83.10546875,0.602057043689965,,
17,30999,84.86328125,0.5957520554035824,,
17,31265,,,6.772907571416978,0.6021435575822802
18,31499,84.5703125,0.5941529231155651,,
18,31999,83.49609375,0.6073667051800165,,
18,32499,83.7890625,0.6072582113793462,,
18,32999,84.27734375,0.599400338731801,,
18,33002,,,6.6255638568873625,0.6014929718713315
19,33499,85.9375,0.6002745652860306,,
19,33999,85.44921875,0.5941955874384586,,
19,34499,84.375,0.5945300796308071,,
19,34739,,,6.6183816114865675,0.6014493459358505
20,34999,85.7421875,0.602297591682194,,
20,35499,84.27734375,0.5996082781245775,,
20,35999,83.10546875,0.6019524968313147,,
20,36476,,,6.612634627695859,0.6015290757240812
21,36499,83.30078125,0.6075607954978393,,
21,36999,85.3515625,0.598475620565498,,
21,37499,86.1328125,0.5918981904965952,,
21,37999,85.44921875,0.6007907584712469,,
21,38213,,,6.61785270123327,0.6014613331342372
22,38499,87.109375,0.6016898286950574,,
22,38999,85.7421875,0.5958245837511771,,
22,39499,84.765625,0.5975489481957914,,
22,39950,,,6.595674804807405,0.6013569020297928
23,39999,86.03515625,0.5920971919224618,,
23,40499,86.71875,0.5855152846493101,,
23,40999,85.15625,0.6047183450661024,,
23,41499,85.25390625,0.5985641124472835,,
23,41687,,,6.591948502789966,0.6014149345942293
24,41999,86.71875,0.5973390502569652,,
24,42499,86.23046875,0.5963240432125079,,
24,42999,86.03515625,0.5987796215835538,,
24,43424,,,6.600456296480306,0.6014844334518462
25,43499,86.23046875,0.5927613714157894,,
25,43999,86.1328125,0.5943205960470987,,
25,44499,86.23046875,0.59628491511199,,
25,44999,85.44921875,0.6015209592898825,,
25,45161,,,6.58915411964063,0.6014700889932245
